CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
1076747|438001|677047,Release Offer,Release Offer,15/1/2019 17:25:38,1 days 1 hours 13 minutes 3 seconds,90783.0
1076747|438001|677047,Accept,Accept,16/1/2019 18:38:41,NA,0.0
783739|454578|698529,Release Offer,Release Offer,5/2/2019 14:10:53,NA,0.0
1138305|515182|790060,Release Offer,Release Offer,13/12/2019 16:36:08,24 days 23 hours 24 minutes 1 seconds,2157841.0
1138305|515182|790060,Accept,Accept,7/1/2020 16:00:09,NA,0.0
1037562|386109|651820,Release Offer,Release Offer,15/11/2018 10:58:17,0 days 0 hours 0 minutes 18 seconds,18.0
1037562|386109|651820,PREPARE TO LOCK,PREPARE TO LOCK,15/11/2018 10:58:35,0 days 0 hours 11 minutes 14 seconds,674.0
1037562|386109|651820,Back to Perform Assessment,Back to Perform Assessment,15/11/2018 11:09:49,0 days 10 hours 7 minutes 49 seconds,36469.0
1037562|386109|651820,Accept,Accept,15/11/2018 21:17:38,NA,0.0
1052649|403155|625720,Release Offer,Release Offer,1/11/2018 14:26:01,9 days 0 hours 22 minutes 27 seconds,778947.0
1052649|403155|625720,Accept,Accept,10/11/2018 14:48:28,NA,0.0
1114684|484215|743082,Release Offer,Release Offer,3/7/2019 9:38:35,6 days 5 hours 1 minutes 43 seconds,536503.0
1114684|484215|743082,AR - Satisfied - GAM,AR - Satisfied - Graduate Access Melbourne,9/7/2019 14:40:18,1 days 1 hours 20 minutes 6 seconds,91206.0
1114684|484215|743082,Accept,Accept,10/7/2019 16:00:24,NA,0.0
1062725|419008|649432,Release Offer,Release Offer,10/1/2019 11:32:28,0 days 0 hours 4 minutes 35 seconds,275.0
1062725|419008|649432,OC - Created - Other,OC - Created - Evidence of course completion,10/1/2019 11:37:03,1 days 3 hours 30 minutes 57 seconds,99057.0
1062725|419008|649432,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),11/1/2019 15:08:00,35 days 12 hours 40 minutes 1 seconds,3069601.0
1062725|419008|649432,Decline,Decline,16/2/2019 3:48:01,NA,0.0
1068985|426862|661450,Release Offer,Release Offer,24/12/2018 10:53:38,15 days 9 hours 58 minutes 53 seconds,1331933.0
1068985|426862|661450,Accept,Accept,8/1/2019 20:52:31,NA,0.0
660857|474347|727887,Release Offer,Release Offer,21/5/2019 14:58:05,17 days 4 hours 21 minutes 23 seconds,1484483.0
660857|474347|727887,Accept,Accept,7/6/2019 19:19:28,NA,0.0
1061850|416881|646276,Release Offer,Release Offer,26/3/2019 16:36:20,NA,0.0
354059|390663|608273,Release Offer,Release Offer,18/10/2018 11:18:37,0 days 0 hours 0 minutes 25 seconds,25.0
