Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,46,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Send for Assessment', 46)]",[],0,0.0
2,133,16 days 20 hours 26 minutes 30 seconds,9.0 days 22.0 hours 5.0 minutes 1.0 seconds,32.33%,"[('Send for Assessment', 133), ('Assessment Outcome - Higher Preference Successful', 63), ('Assessment Outcome - Not Successful', 23), ('Assessment Outcome - Successful', 20), ('Assessment Outcome - Ineligible / Withdrawn', 14), ('Assessment Decision - Not Qualified', 4)]","[('Send for Assessment', 1455990.0)]",1455990,193646731.0
3,141,27 days 6 hours 49 minutes 34 seconds,12.0 days 5.0 hours 57.0 minutes 23.0 seconds,68.79%,"[('Send for Assessment', 142), ('Assessment Outcome - Successful', 60), ('Assessment Decision - Qualified', 43), ('Assessment Outcome - Not Successful', 37), ('Assessment Decision - Not Qualified', 35), ('Assessment Outcome - Higher Preference Successful', 24)]","[('OC - Created - Evidence of course completion', 2559128.0), ('AR - Satisfied - Advanced Standing', 1912385.0), ('Assessment Outcome - Ineligible / Withdrawn', 1838885.0), ('AR - Satisfied - Academic results for prior tertiary studies', 1676922.0), ('Send for Assessment', 1618640.0), ('End My Assessment', 792736.0), ('AR - Satisfied - Official syllabus or subject descriptions (in English)', 780540.0), ('Acacdemic - Assessment Decision - Qualified', 754843.0), ('OC - Created - English language requirements', 585793.0), ('Assessment Outcome - Higher Preference Successful', 573534.0), ('Assessment Decision - Qualified', 437894.0), ('Acacdemic - Assessment Decision - No Decision', 298163.0), ('Assessment Decision - Not Qualified', 176290.0), ('Put Assessment On-Hold', 111400.0), ('Back to Triage', 4184.0), ('Assessment Decision - No Decision', 41.0), ('OC - Satisfied - English language requirements', 2.0)]",2357374,332389795.0
4,116,48 days 8 hours 9 minutes 46 seconds,24.0 days 23.0 hours 55.0 minutes 7.0 seconds,68.97%,"[('Send for Assessment', 116), ('Assessment Decision - Qualified', 60), ('Assessment Outcome - Successful', 56), ('Acacdemic - Assessment Decision - Qualified', 32), ('Assessment Outcome - Higher Preference Successful', 32), ('Assessment Outcome - Not Successful', 24)]","[('OC - Created - Evidence of course completion', 4161529.0), ('End My Assessment', 4090290.0), ('AR - Created - Assessment information (Coursework) (2)', 2861844.0), ('Assessment Outcome - Higher Preference Successful', 2789081.0), ('Put Assessment On-Hold', 2045164.0), ('AR - Satisfied - Credit for previous study', 1483370.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 1280625.0), ('Send for Assessment', 1232519.0), ('AR - Satisfied - Specialisation (Master of Information Systems)', 1188528.0), ('Assessment Decision - No Decision', 875024.0), ('AR - Created - Assessment information (Coursework) (1)', 774161.0), ('Acacdemic - Assessment Decision - Not Qualified', 699389.0), ('Assessment Decision - Qualified', 679904.0), ('AR - Satisfied - Academic results for prior tertiary studies', 648400.0), ('Release Assessment Hold', 512012.0), ('AR - Satisfied - Further information (1)', 434856.0), ('Acacdemic - Assessment Decision - Qualified', 432334.0), ('AR - Satisfied - Official syllabus or subject descriptions (in English)', 364372.0), ('AR - Satisfied - Assessment information (Coursework) (1)', 342295.0), ('Assessment Outcome - Ineligible / Withdrawn', 327173.0), ('Assessment Decision - Not Qualified', 114812.0), ('AR - Satisfied - English language proficiency', 83520.0), ('AR - Satisfied - Curriculum Vitae', 73128.0), ('Create Offer', 63856.0), ('OC - Created - English language requirements', 662.0), ('Acacdemic - Assessment Outcome - Successful', 10.0)]",4176586,484484005.0
5,67,39 days 13 hours 22 minutes 35 seconds,28.0 days 2.0 hours 7.0 minutes 24.0 seconds,74.63%,"[('Send for Assessment', 67), ('Assessment Decision - Qualified', 47), ('Assessment Outcome - Successful', 34), ('Acacdemic - Assessment Decision - Qualified', 27), ('End My Assessment', 20), ('Assessment Outcome - Not Successful', 16)]","[('AR - Satisfied - Graduate Access Melbourne', 15897665.0), ('AR - Satisfied - Current enrolment at the University of Melbourne', 4146033.0), ('AR - Created - Specialisation (Master of Engineering)', 2428683.0), ('AR - Created - Assessment information (Coursework) (1)', 2087775.0), ('Assessment Outcome - Higher Preference Successful', 2038158.0), ('AR - Satisfied - Official syllabus or subject descriptions (in English)', 1763939.0), ('AR - Satisfied - English language proficiency', 1737971.0), ('Assessment Outcome - Ineligible / Withdrawn', 1648873.0), ('OC - Created - Evidence of course completion', 1412974.0), ('AR - Created - Further information (1)', 1127261.0), ('Back to Triage', 1098792.0), ('End My Assessment', 993956.0), ('Assessment Decision - No Decision', 909014.0), ('Send for Assessment', 826484.0), ('Release Assessment Hold', 650534.0), ('Assessment Decision - Not Qualified', 611424.0), ('Put Assessment On-Hold', 579375.0), ('Assessment Decision - Qualified', 370671.0), ('Acacdemic - Assessment Decision - Not Qualified', 350741.0), ('AR - Satisfied - Academic results for prior tertiary studies', 281941.0), ('Assessment Decision - System Assessed', 262353.0), ('AR - Not Satisfied - English language proficiency', 160690.0), ('Acacdemic - Assessment Decision - Qualified', 110595.0), ('OC - Reviewed - English language requirements', 42797.0), ('AR - Satisfied - Further information (1)', 39936.0), ('Provide Response', 14111.0), ('AR - Satisfied - Specialisation (Master of Information Systems)', 433.0), ('AR - Satisfied - Entry points (Master of Information Technology)', 386.0), ('Close Referral', 248.0), ('AR - Satisfied - Specialisation (Master of Information Technology)', 92.0), ('Send Referral', 30.0), ('AR - Satisfied - Entry points (Master of Information Systems)', 25.0), ('Acacdemic - Assessment Decision - No Decision', 14.0)]",3417755,228989628.0
6,34,38 days 14 hours 19 minutes 54 seconds,35.0 days 3.0 hours 9.0 minutes 20.0 seconds,79.41%,"[('Assessment Decision - Qualified', 40), ('Send for Assessment', 37), ('Assessment Outcome - Successful', 23), ('Acacdemic - Assessment Decision - Qualified', 16), ('Assessment Decision - No Decision', 16), ('Put Assessment On-Hold', 8)]","[('Put Triage On-Hold', 4166412.0), ('AR - Not Satisfied - English language proficiency', 2505772.0), ('AR - Satisfied - Academic results for prior tertiary studies', 1867451.0), ('AR - Satisfied - University of Melbourne Statement of Results / transcript', 1360740.0), ('Send for Assessment', 1173541.0), ('End My Assessment', 1023594.0), ('AR - Created - Assessment information (Coursework) (1)', 967082.0), ('AR - Satisfied - Further information (1)', 919604.0), ('AR - Satisfied - Assessment information (Coursework) (1)', 525009.0), ('Put Assessment On-Hold', 471012.0), ('Acacdemic - Assessment Decision - Qualified', 359035.0), ('Assessment Decision - No Decision', 309014.0), ('AR - Satisfied - Official syllabus or subject descriptions (in English)', 275494.0), ('Assessment Decision - Qualified', 258909.0), ('Acacdemic - Assessment Decision - No Decision', 235359.0), ('Acacdemic - Assessment Decision - Not Qualified', 230099.0), ('Release Assessment Hold', 199229.0), ('Back to Triage', 58070.0), ('Provide Response', 8692.0), ('Assessment Outcome - Higher Preference Successful', 5099.0), ('Assessment Decision - Not Qualified', 532.0), ('OC - Created - Evidence of course completion', 291.0), ('AR - Created - Assessment information (Coursework) (2)', 74.0), ('Send Referral', 45.0), ('AR - Satisfied - English language proficiency', 40.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 19.0), ('Release Triage Hold', 12.0)]",3334794,113383029.0
7,22,61 days 4 hours 58 minutes 31 seconds,22.0 days 2.0 hours 30.0 minutes 23.0 seconds,68.18%,"[('Assessment Decision - Qualified', 25), ('Send for Assessment', 23), ('Put Assessment On-Hold', 13), ('Release Assessment Hold', 13), ('Assessment Outcome - Successful', 11), ('Assessment Decision - No Decision', 11)]","[('Back to Perform Assessment', 22305657.0), ('AR - Satisfied - Credit for previous study', 8651358.0), ('AR - Satisfied - University of Melbourne Statement of Results / transcript', 5000235.0), ('Release Assessment Hold', 1216671.0), ('Put Assessment On-Hold', 636685.0), ('Send for Assessment', 560853.0), ('AR - Satisfied - English language proficiency', 404664.0), ('AR - Created - Assessment information (Coursework) (1)', 348608.0), ('Assessment Decision - Qualified', 197461.0), ('End My Assessment', 192718.0), ('AR - Requested - Further information (1)', 156282.0), ('Assessment Decision - No Decision', 149951.0), ('Put Triage On-Hold', 91124.0), ('AR - Not Satisfied - English language proficiency', 72560.0), ('Acacdemic - Assessment Decision - Not Qualified', 46695.0), ('Acacdemic - Assessment Decision - Qualified', 39442.0), ('AR - Satisfied - Curriculum Vitae and professional experience', 5012.0), ('OC - Satisfied - English language requirements', 2878.0), ('OC - Created - Evidence of course completion', 1044.0), ('AR - Satisfied - Curriculum Vitae', 973.0), ('Provide Response', 871.0), ('AR - Created - Further information (2)', 569.0), ('Assessment Decision - Not Assessed', 136.0), ('AR - Satisfied - Academic results for prior tertiary studies', 42.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 33.0), ('Assessment Decision - Not Qualified', 22.0), ('AR - Satisfied - Employer reference letter', 22.0), ('Send Referral', 22.0), ('Back to Triage', 13.0), ('Release Triage Hold', 10.0), ('AR - Satisfied - Further information (2)', 6.0), ('AR - Created - Further information (1)', 4.0)]",5288311,116342852.0
8,18,33 days 12 hours 8 minutes 45 seconds,23.0 days 15.0 hours 2.0 minutes 9.0 seconds,83.33%,"[('Assessment Decision - Qualified', 21), ('Send for Assessment', 20), ('Assessment Decision - No Decision', 14), ('Assessment Outcome - Successful', 11), ('Put Assessment On-Hold', 10), ('Release Assessment Hold', 10)]","[('AR - Created - Further information (2)', 3626350.0), ('OC - Created - English language requirements', 2504214.0), ('AR - Satisfied - Academic results for prior tertiary studies', 761955.0), ('Put Triage On-Hold', 708507.0), ('AR - Satisfied - English language proficiency', 613318.0), ('Assessment Decision - Not Qualified', 535186.0), ('End My Assessment', 461872.0), ('Send for Assessment', 411753.0), ('Assessment Decision - No Decision', 410030.0), ('Release Assessment Hold', 399291.0), ('Acacdemic - Assessment Decision - Not Qualified', 297000.0), ('Acacdemic - Assessment Decision - No Decision', 266887.0), ('Assessment Outcome - Higher Preference Successful', 207026.0), ('OC - Created - Evidence of course completion', 197840.0), ('Put Assessment On-Hold', 191710.0), ('AR - Satisfied - University of Melbourne Statement of Results / transcript', 114335.0), ('Assessment Decision - Qualified', 77535.0), ('Acacdemic - Assessment Decision - Qualified', 65012.0), ('AR - Satisfied - Advanced Standing', 5816.0), ('AR - Satisfied - Specialisation (Master of Information Technology)', 798.0), ('Back to Triage', 729.0), ('AR - Satisfied - Entry points (Master of Information Technology)', 296.0), ('AR - Satisfied - Further information (1)', 154.0), ('AR - Satisfied - Assessment information (Coursework) (1)', 105.0), ('AR - Satisfied - Transcript � My eQuals', 84.0), ('AR - Created - Assessment information (Coursework) (1)', 26.0), ('AR - Satisfied - Credit for previous study', 20.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 20.0), ('AR - Created - Further information (1)', 18.0), ('AR - Not Satisfied - English language proficiency', 16.0), ('AR - Satisfied - Graduate Access Melbourne', 13.0), ('Release Triage Hold', 11.0)]",2894925,52108666.0
9,17,38 days 18 hours 32 minutes 37 seconds,34.0 days 20.0 hours 2.0 minutes 21.0 seconds,94.12%,"[('Assessment Decision - Qualified', 30), ('Send for Assessment', 23), ('Assessment Outcome - Successful', 12), ('Acacdemic - Assessment Decision - Qualified', 9), ('Assessment Decision - No Decision', 8), ('Put Assessment On-Hold', 7)]","[('AR - Satisfied - Further information (1)', 1749295.0), ('Acacdemic - Assessment Decision - No Decision', 933194.0), ('Release Assessment Hold', 652190.0), ('End My Assessment', 606417.0), ('AR - Created - Assessment information (Coursework) (1)', 497018.0), ('Put Assessment On-Hold', 490056.0), ('Assessment Decision - Not Qualified', 474026.0), ('Send for Assessment', 302091.0), ('Acacdemic - Assessment Decision - Not Qualified', 288771.0), ('Put Triage On-Hold', 243409.0), ('Acacdemic - Assessment Decision - Qualified', 207456.0), ('Assessment Decision - Qualified', 172953.0), ('Assessment Decision - No Decision', 106602.0), ('AR - Satisfied - Academic results for prior tertiary studies', 69381.0), ('AR - Satisfied - University of Melbourne Statement of Results / transcript', 4474.0), ('AR - Satisfied - Official syllabus or subject descriptions (in English)', 3665.0), ('Back to Triage', 2686.0), ('AR - Created - Further information (1)', 559.0), ('AR - Satisfied - Entry points (Master of Information Technology)', 386.0), ('OC - Created - Evidence of course completion', 93.0), ('AR - Satisfied - Specialisation (Master of Information Technology)', 92.0), ('OC - Created - English language requirements', 86.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 32.0), ('AR - Not Satisfied - English language proficiency', 16.0), ('AR - Satisfied - Graduate Access Melbourne', 13.0), ('Release Triage Hold', 13.0)]",3349957,56949275.0
10,7,40 days 3 hours 29 minutes 45 seconds,19.0 days 0.0 hours 35.0 minutes 4.0 seconds,85.71%,"[('Assessment Decision - No Decision', 14), ('Assessment Decision - Qualified', 10), ('Send for Assessment', 9), ('Put Assessment On-Hold', 6), ('Release Assessment Hold', 6), ('Assessment Outcome - Successful', 4)]","[('Put Triage On-Hold', 15573013.0), ('AR - Satisfied - English language proficiency', 281243.0), ('Assessment Decision - No Decision', 163400.0), ('Send for Assessment', 113059.0), ('Put Assessment On-Hold', 108425.0), ('Release Assessment Hold', 100207.0), ('AR - Satisfied - University of Melbourne Statement of Results / transcript', 86446.0), ('AR - Reviewed - English language proficiency', 4130.0), ('Assessment Decision - Qualified', 2170.0), ('AR - Requested - English language proficiency', 691.0), ('Assessment Decision - Not Qualified', 661.0), ('Back to Triage', 310.0), ('AR - Satisfied - Academic results for prior tertiary studies', 118.0), ('OC - Created - Evidence of course completion', 82.0), ('AR - Created - University of Melbourne Statement of Results / transcript', 30.0), ('Release Triage Hold', 8.0)]",3468585,24280100.0
