Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,77,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Submit', 77)]",[],0,0.0
2,58,9 days 10 hours 48 minutes 32 seconds,0.0 days 22.0 hours 18.0 minutes 19.5 seconds,77.59%,"[('Submit', 58), ('Send for Assessment', 45), ('WITHDRAW & LOCK', 5), ('Assessment Outcome - Ineligible / Withdrawn', 4), ('AR - Reviewed - advanced standing', 2), ('Put Triage On-Hold', 1)]","[('Submit', '9.0 days 10.0 hours 48.0 minutes 32.0 seconds')]",816512,47357725.0
3,25,16 days 8 hours 43 minutes 32 seconds,7.0 days 19.0 hours 24.0 minutes 56.0 seconds,68.0%,"[('Submit', 25), ('Send for Assessment', 17), ('AR - Satisfied - previous or current study', 6), ('AR - Satisfied - ELR', 6), ('Put Triage On-Hold', 5), ('OC - Created - Other', 3)]","[('Submit', '16.0 days 4.0 hours 50.0 minutes 42.0 seconds'), ('AR - Created - previous or current study', '1.0 days 23.0 hours 38.0 minutes 1.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 5.0 minutes 39.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 4.0 minutes 54.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 4.0 minutes 42.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 4.0 minutes 10.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 3.0 minutes 28.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 2.0 minutes 1.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 19.0 minutes 45.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 1.0 minutes 0.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 34.0 seconds')]",1413812,35345317.0
4,100,13 days 2 hours 25 minutes 34 seconds,9.0 days 22.0 hours 0.0 minutes 24.0 seconds,79.0%,"[('Submit', 100), ('Send for Assessment', 79), ('AR - Satisfied - previous or current study', 71), ('AR - Satisfied - ELR', 59), ('AR - Created - previous or current study', 18), ('Put Triage On-Hold', 16)]","[('Put Triage On-Hold', '5.0 days 16.0 hours 11.0 minutes 4.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '3.0 days 21.0 hours 11.0 minutes 41.0 seconds'), ('Assessment Decision - Not Assessed', '3.0 days 10.0 hours 5.0 minutes 39.0 seconds'), ('AR - Satisfied - previous or current study', '2.0 days 15.0 hours 9.0 minutes 4.0 seconds'), ('Submit', '10.0 days 3.0 hours 12.0 minutes 46.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 5.0 minutes 5.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 5.0 minutes 41.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 3.0 minutes 44.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 3.0 minutes 36.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 3.0 minutes 2.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 25.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 18.0 minutes 38.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 18.0 minutes 25.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 15.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds')]",1131934,113193499.0
5,140,15 days 4 hours 44 minutes 4 seconds,9.0 days 3.0 hours 7.0 minutes 38.5 seconds,92.14%,"[('Submit', 140), ('AR - Satisfied - previous or current study', 133), ('Send for Assessment', 129), ('AR - Satisfied - ELR', 100), ('AR - Satisfied - advanced standing', 70), ('AR - Created - previous or current study', 23)]","[('AR - Satisfied - specialisation', '8.0 days 9.0 hours 22.0 minutes 0.0 seconds'), ('AR - Satisfied - entry points', '3.0 days 3.0 hours 52.0 minutes 14.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '2.0 days 20.0 hours 11.0 minutes 31.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 2.0 hours 27.0 minutes 16.0 seconds'), ('AR - Created - further information', '2.0 days 11.0 hours 28.0 minutes 55.0 seconds'), ('Submit', '11.0 days 21.0 hours 46.0 minutes 19.0 seconds'), ('AR - Satisfied - previous or current study', '1.0 days 7.0 hours 18.0 minutes 32.0 seconds'), ('Put Triage On-Hold', '1.0 days 2.0 hours 16.0 minutes 34.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 7.0 hours 21.0 minutes 44.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 5.0 hours 25.0 minutes 30.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 8.0 minutes 40.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 42.0 minutes 17.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 4.0 minutes 48.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 3.0 minutes 36.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 59.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 11.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 12.0 minutes 1.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 1.0 minutes 34.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 18.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 0.0 minutes 40.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 3.0 seconds')]",1313044,183826195.0
6,285,13 days 2 hours 3 minutes 22 seconds,7.0 days 2.0 hours 9.0 minutes 36.0 seconds,93.68%,"[('AR - Satisfied - previous or current study', 382), ('Submit', 286), ('Send for Assessment', 267), ('AR - Satisfied - ELR', 230), ('AR - Created - previous or current study', 129), ('AR - Satisfied - advanced standing', 104)]","[('Submit', '8.0 days 8.0 hours 38.0 minutes 47.0 seconds'), ('Put Triage On-Hold', '5.0 days 8.0 hours 36.0 minutes 16.0 seconds'), ('AR - Requested - Other', '5.0 days 0.0 hours 6.0 minutes 15.0 seconds'), ('AR - Satisfied - further information', '2.0 days 3.0 hours 55.0 minutes 25.0 seconds'), ('AR - Created - Other', '0.0 days 6.0 hours 33.0 minutes 13.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 2.0 hours 5.0 minutes 58.0 seconds'), ('AR - Created - previous or current study', '0.0 days 2.0 hours 0.0 minutes 54.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 16.0 hours 40.0 minutes 49.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 12.0 hours 55.0 minutes 19.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 1.0 hours 19.0 minutes 36.0 seconds'), ('AR - Requested - specialisation', '0.0 days 0.0 hours 7.0 minutes 47.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 6.0 minutes 23.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 5.0 minutes 33.0 seconds'), ('AR - Reviewed - specialisation', '0.0 days 0.0 hours 5.0 minutes 1.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 4.0 minutes 32.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 3.0 minutes 9.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 3.0 minutes 6.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 2.0 minutes 16.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 14.0 minutes 57.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 1.0 minutes 38.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 38.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 28.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 1.0 minutes 23.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 0.0 minutes 47.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 46.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds')]",1130602,322221747.0
7,453,11 days 23 hours 49 minutes 43 seconds,7.0 days 4.0 hours 43.0 minutes 0.0 seconds,95.81%,"[('AR - Satisfied - previous or current study', 747), ('Submit', 457), ('Send for Assessment', 434), ('AR - Satisfied - ELR', 403), ('AR - Satisfied - advanced standing', 352), ('AR - Created - previous or current study', 344)]","[('Put Triage On-Hold', '5.0 days 8.0 hours 59.0 minutes 44.0 seconds'), ('Submit', '4.0 days 0.0 hours 22.0 minutes 5.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '3.0 days 2.0 hours 9.0 minutes 55.0 seconds'), ('AR - Satisfied - syllabus', '1.0 days 7.0 hours 44.0 minutes 36.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 21.0 hours 46.0 minutes 30.0 seconds'), ('AR - Created - previous or current study', '0.0 days 2.0 hours 38.0 minutes 34.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 14.0 hours 23.0 minutes 30.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 14.0 hours 18.0 minutes 33.0 seconds'), ('AR - Created - Other', '0.0 days 1.0 hours 21.0 minutes 44.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 3.0 minutes 43.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 3.0 minutes 34.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 3.0 minutes 32.0 seconds'), ('AR - Created - advanced standing', '0.0 days 0.0 hours 2.0 minutes 52.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 50.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 2.0 minutes 11.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 19.0 minutes 53.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 13.0 minutes 2.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 18.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 40.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 0.0 minutes 22.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 0.0 minutes 17.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 17.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",1036183,469391139.0
8,386,12 days 3 hours 20 minutes 1 seconds,6.0 days 4.0 hours 28.0 minutes 22.0 seconds,95.34%,"[('AR - Satisfied - previous or current study', 667), ('Submit', 386), ('Send for Assessment', 368), ('AR - Satisfied - ELR', 352), ('AR - Created - previous or current study', 290), ('AR - Satisfied - advanced standing', 260)]","[('Put Triage On-Hold', '9.0 days 2.0 hours 21.0 minutes 27.0 seconds'), ('Submit', '4.0 days 3.0 hours 49.0 minutes 25.0 seconds'), ('Assessment Decision - Not Qualified', '10.0 days 19.0 hours 2.0 minutes 10.0 seconds'), ('AR - Created - Other', '1.0 days 14.0 hours 59.0 minutes 43.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 9.0 hours 32.0 minutes 5.0 seconds'), ('AR - Created - further information', '0.0 days 8.0 hours 25.0 minutes 35.0 seconds'), ('Release Triage Hold', '0.0 days 8.0 hours 12.0 minutes 23.0 seconds'), ('WITHDRAW & LOCK', '0.0 days 7.0 hours 54.0 minutes 11.0 seconds'), ('AR - Created - previous or current study', '0.0 days 6.0 hours 0.0 minutes 58.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 4.0 hours 39.0 minutes 15.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 3.0 hours 58.0 minutes 18.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 21.0 hours 54.0 minutes 1.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 21.0 hours 10.0 minutes 47.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 1.0 hours 3.0 minutes 13.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 5.0 minutes 27.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 4.0 minutes 22.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 3.0 minutes 41.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 3.0 minutes 4.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 3.0 minutes 37.0 seconds'), ('AR - Not Satisfied - advanced standing', '0.0 days 0.0 hours 2.0 minutes 32.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 2.0 minutes 11.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 16.0 minutes 7.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 10.0 minutes 37.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 1.0 minutes 36.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 1.0 minutes 0.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Reviewed - GAM', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 45.0 seconds'), ('AR - Created - advanced standing', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('AR - Created - agent', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds')]",1048801,404837560.0
9,193,18 days 10 hours 9 minutes 9 seconds,12.0 days 0.0 hours 53.0 minutes 9.0 seconds,92.75%,"[('AR - Satisfied - previous or current study', 305), ('Submit', 193), ('Send for Assessment', 179), ('AR - Satisfied - ELR', 157), ('AR - Created - previous or current study', 125), ('AR - Satisfied - entry points', 107)]","[('Put Triage On-Hold', '9.0 days 11.0 hours 40.0 minutes 18.0 seconds'), ('Assessment Decision - No Decision', '5.0 days 22.0 hours 38.0 minutes 54.0 seconds'), ('Submit', '5.0 days 20.0 hours 2.0 minutes 59.0 seconds'), ('AR - Reviewed - application details', '12.0 days 17.0 hours 35.0 minutes 52.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 23.0 hours 1.0 minutes 18.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 8.0 hours 34.0 minutes 59.0 seconds'), ('Release Triage Hold', '0.0 days 7.0 hours 15.0 minutes 38.0 seconds'), ('AR - Created - previous or current study', '0.0 days 5.0 hours 47.0 minutes 55.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 4.0 hours 18.0 minutes 31.0 seconds'), ('AR - Created - Other', '0.0 days 3.0 hours 8.0 minutes 52.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 3.0 hours 18.0 minutes 5.0 seconds'), ('AR - Satisfied - application details', '0.0 days 2.0 hours 14.0 minutes 27.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 17.0 hours 45.0 minutes 14.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 15.0 hours 53.0 minutes 10.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 3.0 minutes 21.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 3.0 minutes 10.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 26.0 minutes 51.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 2.0 minutes 17.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 2.0 minutes 10.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 10.0 minutes 47.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 1.0 minutes 57.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 1.0 minutes 43.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 30.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 22.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 17.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",1591749,307207581.0
10,126,17 days 1 hours 26 minutes 10 seconds,13.0 days 0.0 hours 53.0 minutes 18.5 seconds,94.44%,"[('AR - Satisfied - previous or current study', 208), ('Submit', 126), ('Send for Assessment', 119), ('AR - Satisfied - ELR', 102), ('AR - Created - previous or current study', 81), ('AR - Satisfied - advanced standing', 78)]","[('Put Triage On-Hold', '9.0 days 9.0 hours 3.0 minutes 58.0 seconds'), ('Assessment Decision - Not Qualified', '9.0 days 2.0 hours 1.0 minutes 40.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '6.0 days 22.0 hours 24.0 minutes 15.0 seconds'), ('Submit', '5.0 days 17.0 hours 32.0 minutes 39.0 seconds'), ('Assessment Decision - Qualified', '2.0 days 2.0 hours 57.0 minutes 53.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 22.0 hours 5.0 minutes 33.0 seconds'), ('AR - Created - Other', '1.0 days 14.0 hours 11.0 minutes 33.0 seconds'), ('AR - Created - previous or current study', '0.0 days 4.0 hours 53.0 minutes 40.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 4.0 hours 17.0 minutes 49.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 20.0 hours 29.0 minutes 11.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 2.0 hours 30.0 minutes 10.0 seconds'), ('Release Triage Hold', '0.0 days 10.0 hours 16.0 minutes 29.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 1.0 hours 7.0 minutes 59.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 1.0 hours 43.0 minutes 54.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 5.0 minutes 12.0 seconds'), ('AR - Created - advanced standing', '0.0 days 0.0 hours 4.0 minutes 45.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 3.0 minutes 32.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 2.0 minutes 6.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 30.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 2.0 minutes 24.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 20.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 1.0 minutes 2.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 15.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 53.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 52.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 51.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 34.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 30.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 0.0 minutes 3.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds')]",1473970,185720222.0
