Send for Assessment,AR - Satisfied - ELR,AR - Satisfied - advanced standing,AR - Satisfied - previous or current study,Submit,OC - Created - Other,AR - Satisfied - entry points,Release Triage Hold,OC - Satisfied - Other,AR - Satisfied - work experience,Put Triage On-Hold,AR - Satisfied - further information,AR - Created - further information,AR - Created - work experience,AR - Satisfied - specialisation,AR - Satisfied - application details,AR - Not Satisfied - ELR,Back to Triage,Assessment Decision - Qualified,End My Assessment,AR - Satisfied - syllabus,Release Assessment Hold,AR - Created - previous or current study,Put Assessment On-Hold,Assessment Decision - No Decision,AR - Created - Other,AR - Satisfied - GAM,Assessment Outcome - Ineligible / Withdrawn,Assessment Decision - Not Qualified,Assessment Outcome - Not Successful,AR - Satisfied - Other,Acacdemic - Assessment Decision - Qualified,AR - Reviewed - specialisation,AR - Reviewed - entry points,AR - Reviewed - application details,OC - Reviewed - Other,AR - Reviewed - syllabus,AR - Requested - advanced standing,OC - Satisfied - further information,OC - Created - further information,AR - Satisfied - agent,AR - Reviewed - GAM,AR - Requested - further information,AR - Created - entry points,AR - Created - specialisation,"AR - Satisfied - financial (sponsorship, scholarship etc)","AR - Reviewed - financial (sponsorship, scholarship etc)",Acacdemic - Assessment Decision - No Decision,AR - Satisfied - guaranteed entry,AR - Created - advanced standing,AR - Satisfied - applicant demographics,AR - Created - applicant demographics,AR - Reviewed - advanced standing,AR - Not Satisfied - previous or current study,Acacdemic - Assessment Decision - Not Qualified,Assessment Decision - Not Assessed,Release Offer,Create Offer,Assessment Outcome - Successful,AR - Requested - syllabus,AR - Reviewed - previous or current study,AR - Requested - previous or current study,AR - Reviewed - ELR,AR - Requested - ELR,Assessment Decision - System Assessed,OC - Created - ELR,AR - Reviewed - Other,AR - Reviewed - further information,AR - Requested - Other
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
