,processtime3
92,0
93,0 days 00:09:29
101,7 days 00:51:39
1487,0 days 00:00:00
12363,28 days 00:57:48
12364,0 days 00:03:54
14105,5 days 00:00:34
14110,0 days 00:02:43
16694,14 days 01:54:07
43193,0 days 04:46:36
60531,2 days 22:51:34
60612,0 days 00:00:41
61267,5 days 06:53:12
61269,3 days 06:20:50
61270,0 days 00:00:19
61271,0 days 00:08:51
64288,0 days 00:00:21
64293,0 days 00:01:40
64294,3 days 01:12:03
64295,0 days 00:01:59
64299,0 days 00:01:44
71725,0 days 00:00:00
73011,8 days 01:30:55
73012,0 days 00:00:58
73585,0 days 00:00:00
73587,0 days 23:23:48
73588,0 days 00:01:13
79071,3 days 05:51:50
84569,0 days 00:00:11
94096,11 days 02:38:39
94098,0 days 00:00:28
102084,18 days 00:33:04
102085,0 days 00:01:49
110204,36 days 01:31:55
110206,0 days 00:02:57
110771,6 days 02:02:48
110773,0 days 00:00:26
110775,0 days 00:02:38
110778,0 days 00:05:23
110779,1 days 20:43:19
110781,0 days 00:01:08
110784,0 days 00:00:40
111668,0 days 00:00:10
115267,0 days 00:00:25
117599,0 days 00:00:00
117601,0 days 00:00:44
117668,0 days 01:34:05
123656,0 days 04:04:02
125084,9 days 00:15:23
130192,0 days 00:00:45
133945,4 days 12:10:10
133946,0 days 00:00:59
134446,0 days 00:05:59
134449,0 days 00:01:00
134451,0 days 00:03:11
134467,0 days 00:04:13
138876,6 days 23:10:35
138879,0 days 00:03:20
138911,0 days 00:03:19
145327,5 days 23:45:13
145987,26 days 07:27:33
145988,0 days 00:00:52
145992,0 days 00:05:35
145996,55 days 20:53:08
145997,0 days 00:01:02
149684,0 days 00:00:34
150019,0 days 00:36:33
150027,0 days 00:00:37
150028,0 days 00:02:20
157886,7 days 00:06:32
162479,0 days 04:51:51
162804,0 days 00:02:10
162806,0 days 00:06:55
162807,0 days 00:04:43
162809,0 days 00:02:49
168864,18 days 01:20:13
168865,17 days 03:43:36
173728,6 days 09:27:23
173968,0 days 00:02:39
173971,0 days 00:00:44
173973,0 days 00:00:17
176770,0 days 00:00:28
182360,0 days 00:01:33
183789,0 days 00:02:45
186003,6 days 10:03:36
190837,0 days 00:00:17
190957,0 days 00:00:10
191718,0 days 00:02:41
191721,0 days 00:08:37
193887,0 days 00:04:23
193888,0 days 00:01:59
199207,1 days 20:42:44
202603,17 days 19:31:20
205217,1 days 20:53:09
208611,5 days 21:05:10
208612,0 days 00:00:35
208614,0 days 00:00:09
217791,0 days 00:00:13
217793,0 days 00:00:44
217795,0 days 00:00:06
220765,3 days 02:00:35
220769,0 days 00:07:24
