"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"1","838396|92416|142450","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Chile","1","Engineering","STD","Y","2019","Start Year Intake","2017","Start Year Intake","MCW","Y","$ACC","N"
"37","735486|18758|144154","Temporary Entry Permit","Not Answered","Data Entry","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Mexico","1","Engineering","STD","Y","2019","Mid Year Intake","2017","Start Year Intake","MCW","Y","$DEF","N"
"45","849365|108527|175922","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"84","867540|133308|219738","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Peru","1","Engineering","STD","Y","2019","Mid Year Intake","2017","Start Year Intake","MCW","Y","$DEF","Y"
"100","869775|138052|226611","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","India","1","Engineering","STD","Y","2019","Start Year Intake","2017","Start Year Intake","MCW","Y","$DEF","Y"
"122","876317|147353|240257","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"139","877030|148481|242086","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$ACC","Y"
"173","881903|154976|252372","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","India","1","Engineering","STD","Y","2019","Mid Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"192","889088|167923|272660","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Taiwan","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$ACC","Y"
"237","886739|169446|275153","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Chile","1","Engineering","STD","Y","2020","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","Y"
"257","592823|182191|295383","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2017","Start Year Intake","MCW","Y","$DEF","N"
"271","901122|188050|305793","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"294","901999|189419|308013","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","2","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","N"
"306","884831|160379|310948","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","N"
"331","903284|191975|312182","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$ACC","Y"
"362","904057|192339|312744","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","Y"
"390","906032|195454|317496","Temporary Entry Permit","No","External Agency Application Load","Masters CW","Qualified","Successful","Taiwan","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"419","888750|196888|319747","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Nigeria","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$ACC","Y"
"433","907942|198000|321651","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"466","909800|201624|326886","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$ACC","Y"
"500","904471|204903|330542","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Saudi Arabia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"525","921000|217919|347415","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Indonesia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$ACC","Y"
"556","922200|219650|349782","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
"585","923242|220981|351913","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Paraguay","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"599","924563|222765|354828","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Malaysia","1","Engineering","STD","Y","2019","Mid Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","Y"
"617","925024|223521|356092","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"646","926059|224989|358479","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
